Principal Component 1,Principal Component 2
-2.0623555940468186,-2.7888855994696407
-4.988814555292626,-2.8003736230705916
-7.316786055128552,-3.1123578751203875
13.619228907746685,7.038411301465208
6.339661027610723,-0.1668349192731276
7.567320310252529,-0.2976070660256724
6.842800392684218,-0.042850431475009644
6.196962723313202,-0.004517936754029365
4.444113381644919,-0.4575284797051058
2.546203192527324,-1.1884303455154182
-0.11692385221592486,-1.7404334669007406
-2.7536592583086903,-2.2335251873479374
-4.640990674816442,-2.3977901674333446
-6.077318145055089,-2.2368191279681118
-7.339902537095478,-2.8125568491123993
5.121480917736177,7.130576081178345
5.400303799144567,6.188664218431415
5.494958693108737,6.0059641438671125
6.0592530580781485,5.721586121065334
5.614363781883465,4.7244143934463425
2.2563265187131147,4.146123222382948
1.8604545066493796,3.207720767694328
0.690812407625953,2.010879204296949
-0.43442496043277984,1.843946377484915
-2.0567938140608653,1.7012158132779849
-1.284332064908788,-4.008084697234619
-0.5777433554369025,-3.908601584361051
-0.34427686017352366,-4.518758838343473
-3.3871511300926684,-3.9699532030685982
-2.983320084609023,-1.3881882911950143
-2.776144047457984,-1.3838566688538114
-2.1772678707836803,-1.5702468511301126
-1.7964134380126455,-1.4784174028501977
-2.5995088875361696,-2.122162447447746
11.950488547562857,-2.782862361225826
12.595363138539762,-2.481930238508311
14.047013442316086,-3.1649836825659814
14.16534377394762,-3.7655212629514057
14.423365067068623,-4.758179687996071
14.985483301316236,-5.73351407498476
15.366793101588271,-6.163471812791811
15.347944769005176,-6.866576697693552
10.217164504757204,8.029457596041079
10.652027284511265,6.329599109716189
9.908214280786716,4.747792935083513
9.885228841765578,3.1077933907208712
8.607515219876703,2.7512823509749533
8.110319552682778,3.785376004094623
0.12605659297561855,3.4418711902201644
-7.06299572350121,0.9052324088869195
-6.467473714770474,0.7798960947189161
-6.787788104369211,1.1361446925160688
-6.980228526309291,0.7456713053081927
-7.379370207811871,0.28466772651423644
-8.191295967050031,-0.19430396034355568
-9.684467252959791,-0.7004467550880766
-4.597188746781825,-2.916337115930837
-3.9259117081335293,-3.735874496563789
-4.573667344639765,-4.621170226532326
-4.337793293140463,-4.1142887959933025
-4.355400634713224,-4.040278832582383
-4.12730081735203,-3.9813303600609418
-2.603145983271864,-3.8882413717872355
-2.0753067907746052,-4.023872864728473
-1.5986073122089408,-4.67279689512653
-2.382560327619532,-4.847601739126768
-3.9642301873855406,-4.7113757593400045
-5.102933221520853,-4.964082562130413
-5.884526605154741,-4.897920617761776
-7.086147125857849,-1.8553248373767877
-7.026223694204286,-1.518805530674446
-1.240306546952083,-1.140492622124853
-2.711902049655653,-1.0662205270221512
-5.106564789968913,-2.6439402877387246
-5.4250499316726275,-3.229709863318663
0.5686512157532945,-2.3037074796182413
1.1589446533205043,-3.2726796306451176
-1.5654514411456615,-2.3914633331888213
-2.415084230639381,-2.185067685309677
0.40804537716573636,0.3143040159967287
-0.27633257857824967,0.3396189007436206
-1.3747873088896563,0.30105800363899077
-1.6731393556394147,0.2376466800343125
5.580352184958515,0.5680629885501477
9.878588900570369,0.46338260881383975
12.221061509591387,-0.057536159450744494
13.835896925204207,-0.845460862426756
13.778603436191638,-1.1235647072038624
13.751311818212756,-1.7238191142876331
14.491081290374646,-2.609757069566881
14.545404569177816,-2.972655593329393
15.170619515865832,-4.020768746386381
14.422704732885798,-4.181862428407431
13.436023052897832,-3.9786163167085986
12.542577096875089,-3.846395903705733
12.399886853785475,-4.041421282613863
12.796513820339475,-4.446235944235551
12.396348903483366,-5.179503764459661
10.364538432442368,-5.675514823790661
-5.983421398374048,-5.906164246625919
-2.8765871219566232,-1.8276993234016823
-4.034519205769856,-2.4510406048920435
5.019873355074198,-1.0025977252645888
6.131565850226929,-1.3534425770830338
5.499947323926214,-1.6777953791018339
6.358462672419612,-2.1396135204032722
7.534373056734909,-3.3774984637406593
7.3370867175040555,-3.742126635642054
5.745653373405285,-3.967554861461317
4.099967406441879,-3.9286122906000633
2.49281082748902,-3.2958002294911593
0.39051176318237674,-2.829892886922152
-0.5327862452129749,-3.0424931202940257
-1.8044510693300746,-2.9805016328745437
-3.2831713910611806,-3.2986649553745564
-2.0232703834750554,5.534859124691294
-1.3994395434106577,5.111162057122054
-2.5565396155127065,4.047159482948529
-2.881748111157113,3.7938472721837098
-3.84539595890821,3.835311402371901
-4.889456659581462,4.329043506057396
10.92349655686777,8.016978365315678
11.16428591482152,8.147872061525423
11.415188161680652,7.951613174588059
10.812549179278703,7.839964923428554
9.896314688063452,7.468129742876101
2.9351511870716847,7.328467136762834
10.811581650863486,-6.002633844581281
10.95703035648131,-5.442536498878021
10.504761862694203,-5.807154915177741
7.374832881341995,-5.81648874476403
5.528719110743549,-4.909309639224968
1.7201966243203013,-4.642451517050792
-3.3049761841471783,-4.788804469105932
-0.46373704734307597,-4.855167133734092
1.7163269273083923,-5.695711610350556
3.827468469847754,-5.861155454299747
5.491018096911545,-6.737116657769872
5.841545425838098,-7.798420255349291
6.394101315460881,-8.212209780995261
6.874655580273605,-9.472214081707126
7.258874828286109,-10.721465742974223
7.101649605845811,-11.169439299035881
6.973350569926426,-12.001739826590155
6.905345843614906,-11.920077499715294
6.701766505415273,-11.706659117243394
5.553805731414874,-10.974653020634335
-2.016146533656487,-1.7759840883551479
-2.4303664579197113,-1.200570430157355
-4.861981331847562,-1.502431837950096
-4.6259040550275055,-2.0317509909718754
-5.037426539286169,3.1057640933984616
-5.426426758193718,2.1001007246718895
-7.977081715374648,1.6164191664036824
-8.857949752134154,0.8394923462547139
-8.449831505604294,0.5653225554203148
-8.61160084628465,0.1677980034140799
-3.223359272627631,-2.278685671716053
-2.08900091989555,-2.881935349004637
-0.04458754440919246,-3.860700488269446
0.3315639475163579,-4.088496786494553
-5.126023744061164,-1.9727812228921238
-3.387937407231569,-2.852660575327765
-2.910022187384179,-3.8110177338557953
-4.9284172936966755,-0.9340822740941216
-4.343755289301335,-1.2385043913551477
-4.7623704519512104,-2.1090589893771114
-5.592547000660661,-2.848678288027295
-2.874674194368712,-2.051891879561633
-3.508384419333669,-1.5925859934059057
-4.279985431099932,-1.531554640673504
-3.89372906046818,-1.9939012155639455
-3.3854090509196793,-2.346388086790158
-2.6665310970269633,-2.60150397322925
-1.4429513319400744,-3.0909945830772334
-0.9413291757993871,-2.8895898758431544
-2.420718108315852,-2.9355149122286677
-4.04452002726184,4.764084887001535
-3.2062209950549185,4.677260593159276
-2.820639200934529,4.246740470900056
-4.891596915938045,3.4362193273478288
-5.2369854278502,3.5307449685629657
-5.0497903695983535,3.4738751618874693
-5.24709154575764,3.391590984826548
-5.544716292659571,3.121705640071319
-1.2322518305281205,-0.7984768542450141
-2.790392649123142,0.267983461574498
-2.385134053568829,0.6286766341933883
-1.3000841253171813,0.6151671121311036
-0.7441364368694928,-0.23351928854606352
-0.8312393044062691,-1.3787051005010278
-1.4140107667374224,-1.3452477546229216
-2.6630104684664246,-2.0991634766936995
-8.103984837672412,-0.43570167834780577
-0.7329333898996716,-4.257755461680784
